Time,Economic activity,Revenues,Expendetures,Comensation,Total,Non-Saudi,Saudi
2016,"Agriculture, forestry & fishing","23,152,425","9,867,833","1,460,677","300,030","250,321","49,709"
2016,Mining & quarrying,"182,549,458","32,028,295","8,473,546","96,659","32,970","63,689"
2016,Manufacturing,"154,441,358","78,334,814","12,405,526","986,569","752,197","234,372"
2016,"Electricity, gas, steam & air conditioning supply","12,924,930","5,722,463","2,125,139","70,456","14,552","55,904"
2016,"Water supply; sewerage, waste remediation ","2,133,287","964,720","335,035","41,978","31,999","9,979"
2016,Construction,"55,249,933","21,719,066","8,651,066","1,062,633","922,772","139,861"
2016,Wholesale& retail trade; repair of motor vehicles,"157,340,186","94,535,275","11,203,699","1,653,772","1,255,968","397,804"
2016,Transportation& storage,"27,688,754","12,359,864","3,233,686","252,861","167,310","85,551"
2016,Accommodation & food service activities,"16,402,816","8,431,353","3,163,624","506,615","412,975","93,640"
2016,Information & communication,"37,702,976","18,242,916","2,791,030","107,095","30,194","76,901"
2016,Financial & insurance,"37,809,219","11,152,449","5,587,298","112,380","31,587","80,793"
2016,Real estate activities,"5,543,897","2,152,119","953,277","122,320","56,125","66,195"
2016,"Professional, scientific & technical activities","7,328,837","3,695,330","1,313,290","108,395","75,630","32,765"
2016,Administrative and support service activities,"13,211,038","6,384,125","2,053,779","265,053","181,665","83,388"
2016,Education,"3,885,744","1,884,817","1,679,782","188,667","84,284","104,383"
2016,Human health and &l work activities,"9,571,480","3,225,176","1,764,013","187,694","128,262","59,432"
2016,"Arts, entertainment & recreation","1,760,012","605,748","202,170","30,190","23,395","6,795"
2016,Other service,"4,006,836","1,880,344","1,129,416","208,022","160,037","47,985"
2016,"Agriculture, forestry & fishing","24,827,911","9,768,432","1,459,522","298,605","249,150","49,455"
2016,Mining & quarrying,"152,924,226","31,925,824","8,409,694","96,029","32,812","63,217"
2016,Manufacturing,"154,925,982","78,006,768","12,363,489","982,972","749,455","233,517"
2016,"Electricity, gas, steam & air conditioning supply","10,845,908","5,756,458","2,110,995","70,357","14,598","55,759"
2016,"Water supply; sewerage, waste remediation ","2,132,871","956,065","337,178","41,839","31,877","9,962"
2016,Construction,"56,812,475","21,655,622","8,573,120","1,065,787","926,716","139,071"
2016,Wholesale& retail trade; repair of motor vehicles,"156,085,390","94,070,305","11,093,631","1,646,192","1,252,376","393,816"
2016,Transportation& storage,"27,767,650","12,372,671","3,222,839","252,594","167,090","85,504"
2016,Accommodation & food service activities,"16,425,935","8,410,424","3,142,101","508,249","414,357","93,892"
2016,Information & communication,"41,227,587","18,260,379","2,789,316","106,344","30,219","76,125"
