Year,Tourist Economic Activity,T-Revenues,T-Expendetures,T-Comensation,T-Saudi,T-Non-Saudi,T-Total,Establishments,Saudi-Male,Saudi-Female, Non-Saudi-Male, Non-Saudi-Female
2010,"Passenger rail transport, interurban","142,125","71,254","58,652",598,204,802,6,,,,
2010,Urban and suburban passenger land transport,"2,917,223","1,373,806","1,087,918","11,954","21,361","33,315","1,086",,,,
2010,Other passenger land transport,"73,324","37,444","30,931",182,722,904,27,,,,
2010,Sea and coastal passenger water transport,"3,824","1,205","1,985",14,43,57,14,,,,
2010,Inland passenger water transport,"11,528","4,741","5,698",33,154,187,12,,,,
2010,Passenger air transport,"30,548,692","14,697,144","3,544,572","16,070","6,783","22,853",207,,,,
2010,Short term accommodation activities,"14,069,376","7,330,785","2,897,591","22,238","72,442","94,680","21,731",,,,
2010,"Camping grounds, recreational vehicle parks and trailer parks","19,016","9,508","9,362",93,229,322,102,,,,
2010,Other accommodation,"125,429","41,423","61,254",240,"1,795","2,035",187,,,,
2010,Restaurants and mobile food service activities,"30,556,590","16,235,915","6,412,514","25,405","195,169","220,574","53,073",,,,
2010,Other food service activities,"126,702","60,854","25,694",157,529,686,115,,,,
2010,Beverage serving activities,"2,555,569","1,293,314","706,982","3,087","20,176","23,263","6,647",,,,
2010,Real estate activities with own or leased property,"17,815,781","6,505,737","2,215,280","32,227","34,608","66,835","20,733",,,,
2010,Real estate activities on a fee or contract basis,"598,674","133,688","325,468","4,967","5,125","10,092","3,094",,,,
2010,Renting and leasing of motor vehicles,"5,416,703","2,216,098","542,153","5,138","10,326","15,464","3,179",,,,
2010,Renting and leasing of recreational and sports goods,"99,461","65,179","15,362",117,386,503,168,,,,
2010,Travel agency activities,"3,241,580","1,489,912","426,422","3,396","5,412","8,808","1,340",,,,
2010,Tour operator activities,"1,541,613","827,439","174,235","2,545","2,423","4,968",822,,,,
2010,Other reservation service and related activities,"63,420","22,365","17,643",143,272,415,102,,,,
2010,"Creative, arts and entertainment activities","246,148","101,423","21,542",234,508,742,215,,,,
2010,Museums activities and operation of historical sites and buildings,"24,367","13,008","4,021",41,90,131,98,,,,
2010,Botanical and zoological gardens and nature reserves activities,"158,689","92,386","12,547",86,317,403,164,,,,
2010,Gambling and betting activities,0,0,0,0,0,0,0,,,,
2010,Operation of sports facilities,"304,949","87,883","44,749",156,424,580,228,,,,
2010,Other sports activities,"23,292","7,965","6,425",68,144,212,81,,,,
2010,Activities of amusement parks and theme parks,"1,060,607","351,307","187,523","1,504","3,818","5,322",427,,,,
2010,Other amusement and recreation activities n.e.c.,"176,306","56,648","15,526",146,310,456,122,,,,
2011,"Passenger rail transport, interurban","172,852","98,542","63,513",624,231,855,6,,,,
2011,Urban and suburban passenger land transport,"2,657,567","1,401,282","1,109,676","12,193","21,788","33,981","1,119",,,,
2011,Other passenger land transport,"69,650","37,818","31,240",184,736,920,28,,,,
2011,Sea and coastal passenger water transport,"3,842","1,217","2,025",14,43,57,14,,,,
2011,Inland passenger water transport,"11,603","4,788","5,812",33,156,189,12,,,,
2011,Passenger air transport,"30,854,179","14,844,115","3,620,018","16,231","6,851","23,082",211,,,,
2011,Short term accommodation activities,"14,210,070","7,477,401","2,926,567","22,683","73,166","95,849","22,383",,,,
2011,"Camping grounds, recreational vehicle parks and trailer parks","19,396","9,698","9,456",94,234,328,104,,,,
2011,Other accommodation,"109,557","42,666","61,867",245,"1,831","2,076",193,,,,
2011,Restaurants and mobile food service activities,"31,473,288","16,560,633","6,540,764","25,659","201,024","226,683","55,196",,,,
2011,Other food service activities,"129,236","61,463","25,951",160,540,700,117,,,,
2011,Beverage serving activities,"2,581,125","1,306,247","714,052","3,149","20,378","23,527","6,780",,,,
2011,Real estate activities with own or leased property,"17,993,939","6,570,794","2,259,586","32,549","34,954","67,503","21,355",,,,
2011,Real estate activities on a fee or contract basis,"558,220","175,025","328,723","5,017","5,176","10,193","3,156",,,,
2011,Renting and leasing of motor vehicles,"5,470,870","2,260,420","552,996","5,189","10,429","15,618","3,306",,,,
2011,Renting and leasing of recreational and sports goods,"93,386","65,831","15,516",118,394,512,173,,,,
2011,Travel agency activities,"3,306,412","1,504,811","434,950","3,464","5,520","8,984","1,367",,,,
2011,Tour operator activities,"1,557,029","843,988","177,720","2,596","2,471","5,067",838,,,,
2011,Other reservation service and related activities,"64,688","22,589","17,819",147,275,422,103,,,,
2011,"Creative, arts and entertainment activities","248,609","103,451","21,757",239,513,752,217,,,,
2011,Museums activities and operation of historical sites and buildings,"24,854","13,138","4,061",41,91,132,99,,,,
2011,Botanical and zoological gardens and nature reserves activities,"161,863","94,234","12,672",87,323,410,167,,,,
2011,Gambling and betting activities,0,0,0,0,0,0,0,,,,
2011,Operation of sports facilities,"307,998","89,641","45,644",158,432,590,233,,,,
2011,Other sports activities,"23,525","9,015","6,554",69,147,216,83,,,,
2011,Activities of amusement parks and theme parks,"1,071,213","354,820","193,149","1,534","3,894","5,428",440,,,,
2011,Other amusement and recreation activities n.e.c.,"178,069","57,014","16,837",149,326,475,124,,,,
2012,"Passenger rail transport, interurban","179,854","101,251","67,959",642,247,889,6,,,,
2012,Urban and suburban passenger land transport,"2,798,718","1,429,308","1,142,966","12,437","22,224","34,661","1,141",,,,
2012,Other passenger land transport,"76,003","38,196","31,865",186,751,937,28,,,,
2012,Sea and coastal passenger water transport,"3,860","1,241","2,066",14,43,57,14,,,,
2012,Inland passenger water transport,"12,679","4,884","5,928",33,158,191,12,,,,
2012,Passenger air transport,"31,162,721","14,992,556","3,656,218","16,393","6,920","23,313",213,,,,
2012,Short term accommodation activities,"14,952,171","7,626,949","3,014,364","23,137","73,898","97,035","22,607",,,,
2012,"Camping grounds, recreational vehicle parks and trailer parks","19,784","9,795","9,645",96,239,335,105,,,,
2012,Other accommodation,"107,925","43,519","63,723",252,"1,868","2,120",195,,,,
2012,Restaurants and mobile food service activities,"32,417,487","16,726,239","6,802,395","26,172","207,055","233,227","56,300",,,,
2012,Other food service activities,"131,821","62,692","26,470",162,551,713,118,,,,
2012,Beverage serving activities,"2,606,936","1,332,372","728,333","3,180","20,582","23,762","6,848",,,,
2012,Real estate activities with own or leased property,"18,173,878","6,636,502","2,327,374","32,874","35,304","68,178","21,782",,,,
2012,Real estate activities on a fee or contract basis,"598,754","136,375","335,297","5,067","5,280","10,347","3,188",,,,
2012,Renting and leasing of motor vehicles,"5,525,579","2,283,024","575,116","5,293","10,533","15,826","3,372",,,,
2012,Renting and leasing of recreational and sports goods,"112,254","66,489","15,981",119,398,517,175,,,,
2012,Travel agency activities,"3,372,540","1,534,907","443,649","3,499","5,630","9,129","1,394",,,,
2012,Tour operator activities,"1,588,170","860,868","181,274","2,648","2,496","5,144",855,,,,
2012,Other reservation service and related activities,"65,335","23,267","17,997",148,281,429,104,,,,
2012,"Creative, arts and entertainment activities","251,095","105,520","21,975",244,518,762,219,,,,
2012,Museums activities and operation of historical sites and buildings,"25,103","13,269","4,102",41,93,134,100,,,,
2012,Botanical and zoological gardens and nature reserves activities,"165,100","95,176","12,925",89,329,418,169,,,,
2012,Gambling and betting activities,0,0,0,0,0,0,0,,,,
2012,Operation of sports facilities,"314,158","90,537","46,557",161,436,597,238,,,,
2012,Other sports activities,"23,996","6,115","6,620",70,148,218,85,,,,
2012,Activities of amusement parks and theme parks,"1,092,637","361,916","198,943","1,549","3,933","5,482",453,,,,
2012,Other amusement and recreation activities n.e.c.,"183,411","57,754","16,154",150,329,479,126,,,,
2013,"Passenger rail transport, interurban","192,997","112,513","71,357",661,259,920,6,,,,
